image,width_px,height_px,num_channels,source_file,recovery_file,recovered,acquisition_id,acquisition_description,acquisition_start_x_um,acquisition_start_y_um,acquisition_end_x_um,acquisition_end_y_um,acquisition_width_um,acquisition_height_um
TS-373_IMC96_B_001.tiff,1000,1000,42,TS-373_IMC96_B.mcd,TS-373_IMC96_B_ROI_1.txt,False,1.0,ROI_1,27264.033,16024.082,28264.033,15024.082,1000.0,1000.0
TS-373_IMC96_B_002.tiff,1000,1000,42,TS-373_IMC96_B.mcd,TS-373_IMC96_B_ROI_2.txt,False,2.0,ROI_2,26967.975,11484.202,27967.975,10484.202,1000.0,1000.0
TS-373_IMC95_B_001.tiff,1000,1000,42,TS-373_IMC95_B.mcd,TS-373_IMC95_B_ROI_1.txt,False,1.0,ROI_1,24858.944,13881.885,25858.944,12881.885,1000.0,1000.0
TS-373_IMC95_B_002.tiff,1000,1000,42,TS-373_IMC95_B.mcd,TS-373_IMC95_B_ROI_2.txt,False,2.0,ROI_2,25312.0,9714.0,26312.0,8714.0,1000.0,1000.0
TS-373_IMC93_B_001.tiff,1000,1000,42,TS-373_IMC93_B.mcd,TS-373_IMC93_B_ROI_1.txt,False,1.0,ROI_1,25680.85,9875.149,26680.85,8875.149,1000.0,1000.0
TS-373_IMC93_B_002.tiff,1000,1000,42,TS-373_IMC93_B.mcd,TS-373_IMC93_B_ROI_2.txt,False,2.0,ROI_2,29050.0,7940.0,30050.0,6940.0,1000.0,1000.0
TS-373_IMC92_B_001.tiff,1000,1000,42,TS-373_IMC92_B.mcd,TS-373_IMC92_B_ROI_1.txt,False,1.0,ROI_1,28961.0,15038.0,29961.0,14038.0,1000.0,1000.0
TS-373_IMC92_B_002.tiff,1000,1000,42,TS-373_IMC92_B.mcd,TS-373_IMC92_B_ROI_2.txt,False,2.0,ROI_2,30472.0,9098.0,31472.0,8098.0,1000.0,1000.0
TS-373_IMC90.1_B_001.tiff,1000,1000,42,TS-373_IMC90.1_B.mcd,TS-373_IMC90.1_B_ROI_1.txt,False,1.0,ROI_1,23790.115,13888.676,24790.115,12888.676,1000.0,1000.0
TS-373_IMC90.1_B_002.tiff,1000,1000,42,TS-373_IMC90.1_B.mcd,TS-373_IMC90.1_B_ROI_2.txt,False,2.0,ROI_2,24260.54,11789.058,25260.54,10789.058,1000.0,1000.0
TS-373_IMC89_B_001.tiff,1000,1000,42,TS-373_IMC89_B.mcd,TS-373_IMC89_B_ROI_1.txt,False,1.0,ROI_1,27020.0,10840.0,28020.0,9840.0,1000.0,1000.0
TS-373_IMC89_B_002.tiff,1000,1000,42,TS-373_IMC89_B.mcd,TS-373_IMC89_B_ROI_2.txt,False,2.0,ROI_2,27661.299,9743.211,28661.299,8743.211,1000.0,1000.0
TS-373_IMC88_B_001.tiff,1000,1000,42,TS-373_IMC88_B.mcd,TS-373_IMC88_B_ROI_1.txt,False,1.0,ROI_1,25613.879,13392.112,26613.879,12392.112,1000.0,1000.0
TS-373_IMC88_B_002.tiff,1000,1000,42,TS-373_IMC88_B.mcd,TS-373_IMC88_B_ROI_2.txt,False,2.0,ROI_2,26142.879,11692.112,27142.879,10692.112,1000.0,1000.0
TS-373_IMC87-1_UB_001.tiff,1000,1000,42,TS-373_IMC87-1_UB.mcd,TS-373_IMC87-1_UB_ROI_1.txt,False,1.0,ROI_1,25138.739,8639.49,26138.739,7639.49,1000.0,1000.0
TS-373_IMC87-1_UB_002.tiff,1000,1000,42,TS-373_IMC87-1_UB.mcd,TS-373_IMC87-1_UB_ROI_2.txt,False,2.0,ROI_2,26075.055,6584.384,27075.055,5584.384,1000.0,1000.0
TS-373_IMC86_B_001.tiff,1000,1000,42,TS-373_IMC86_B.mcd,TS-373_IMC86_B_ROI_1.txt,False,1.0,ROI_1,22047.907,14042.522,23047.907,13042.522,1000.0,1000.0
TS-373_IMC86_B_002.tiff,1000,1000,42,TS-373_IMC86_B.mcd,TS-373_IMC86_B_ROI_2.txt,False,2.0,ROI_2,25573.307,9436.283,26573.307,8436.283,1000.0,1000.0
TS-373_IMC85_UB_001.tiff,1000,1000,42,TS-373_IMC85_UB.mcd,TS-373_IMC85_UB_ROI_1.txt,False,1.0,ROI_1,22942.91,16379.897,23942.91,15379.897,1000.0,1000.0
TS-373_IMC85_UB_002.tiff,1000,1000,42,TS-373_IMC85_UB.mcd,TS-373_IMC85_UB_ROI_2.txt,False,2.0,ROI_2,32172.494,7621.574,33172.494,6621.574,1000.0,1000.0
